fSalesPrimaryKey,ProductID,SalesRepID,Location,Date,Units,PercentOfStandardCost,RevenueDiscount
36943,10,7,GermanyFrankfurt,43009,60,0.99,0.35
36944,8,2,DenmarkCopenhagen,42851,71,0.972,0.35
36945,9,6,GermanyDresden,43006,68,0.988,0.35
36946,2,5,GermanyBerlin,42841,157,0.97,0.55
36947,8,2,DenmarkCopenhagen,42779,103,0.965,0.5
36948,8,1,Czech republicPrague,43072,48,0.997,0.25
36949,4,2,DenmarkCopenhagen,42973,30,0.984,0.25
36950,4,7,GermanyFrankfurt,42841,57,0.97,0.35
36951,11,4,GermanyFrankfurt,43042,145,0.994,0.5
36952,5,5,GermanyBerlin,42736,31,0.954,0.25
36953,9,6,GermanyDresden,42798,87,0.964,0.4
36954,9,3,Czech republicOstrava,42848,50,0.973,0.35
36955,3,1,Czech republicPrague,42756,72,0.964,0.35
36956,1,5,GermanyBerlin,42893,76,0.977,0.4
36957,2,5,GermanyBerlin,43068,71,0.996,0.35
36958,7,2,DenmarkCopenhagen,42873,138,0.977,0.5
36959,1,1,Czech republicPrague,43005,134,0.989,0.5
36960,11,5,GermanyBerlin,42991,39,0.99,0.25
36961,2,7,GermanyFrankfurt,42736,35,0.954,0.25
36962,2,4,GermanyFrankfurt,42834,75,0.974,0.4
36963,3,4,GermanyFrankfurt,42747,77,0.962,0.4
36964,5,4,GermanyFrankfurt,42946,39,0.984,0.25
36965,2,5,GermanyBerlin,42907,36,0.98,0.25
36966,1,5,GermanyBerlin,43017,75,0.992,0.4
36967,1,4,GermanyFrankfurt,43031,85,0.993,0.4
36968,3,3,Czech republicBrno,42755,62,0.957,0.35
36969,5,6,GermanyDresden,43099,139,0.999,0.5
36970,5,1,Czech republicPrague,42888,148,0.974,0.5
36971,10,7,GermanyFrankfurt,42781,117,0.96,0.5
36972,1,2,DenmarkCopenhagen,42983,35,0.988,0.25
36973,11,6,GermanyDresden,42961,167,0.985,0.55
36974,11,6,GermanyDresden,42764,50,0.969,0.35
36975,9,3,Czech republicOstrava,42806,64,0.969,0.35
36976,11,3,Czech republicOstrava,43045,91,0.994,0.4
36977,2,3,Czech republicBrno,42997,66,0.987,0.35
36978,11,7,GermanyFrankfurt,42862,45,0.977,0.25
36979,7,6,GermanyDresden,42919,27,0.982,0.25
36980,1,7,GermanyFrankfurt,42990,172,0.987,0.55
36981,8,6,GermanyDresden,42858,28,0.972,0.25
36982,9,1,Czech republicPrague,42737,3,0.96,0
36983,6,4,GermanyFrankfurt,42952,130,0.983,0.5
36984,4,2,DenmarkCopenhagen,42971,83,0.987,0.4
36985,2,6,GermanyDresden,43022,98,0.991,0.4
36986,8,6,GermanyDresden,43065,28,0.996,0.25
36987,9,6,GermanyDresden,42820,46,0.973,0.25
36988,6,6,GermanyDresden,43081,68,0.998,0.35
36989,1,1,Czech republicPrague,43060,8,0.995,0
36990,11,5,GermanyBerlin,42816,37,0.971,0.25
36991,6,3,Czech republicBrno,43054,28,0.995,0.25
36992,2,2,DenmarkCopenhagen,42749,77,0.955,0.4
36993,4,3,Czech republicBrno,42952,9,0.983,0
36994,7,2,DenmarkCopenhagen,42856,86,0.971,0.4
36995,1,7,GermanyFrankfurt,43065,7,0.996,0
36996,1,6,GermanyDresden,43080,66,0.997,0.35
36997,2,1,Czech republicPrague,42991,37,0.99,0.25
36998,2,3,Czech republicBrno,43069,85,0.996,0.4
36999,2,2,DenmarkCopenhagen,42912,27,0.981,0.25
37000,9,7,GermanyFrankfurt,42836,39,0.968,0.25
37001,8,3,Czech republicOstrava,42840,83,0.974,0.4
37002,3,5,GermanyBerlin,42747,81,0.962,0.4
37003,4,1,Czech republicPrague,42848,79,0.973,0.4
37004,7,6,GermanyDresden,42766,40,0.959,0.25
37005,6,6,GermanyDresden,42875,39,0.976,0.25
37006,10,5,GermanyBerlin,43016,41,0.991,0.25
37007,2,4,GermanyFrankfurt,43089,36,0.998,0.25
37008,2,6,GermanyDresden,42864,36,0.973,0.25
37009,9,1,Czech republicPrague,42972,144,0.985,0.5
37010,5,3,Czech republicBrno,42782,62,0.97,0.35
37011,8,6,GermanyDresden,42891,170,0.978,0.55
